Customer ID,Country/Region,City,State/Province,Postal Code,Region
128055,United States,San Francisco,California,94122,Pacific
138100,United States,New York City,New York,10011,Atlantic
121391,United States,San Francisco,California,94109,Pacific
103982,United States,Round Rock,Texas,78664,Interior
147039,United States,Minneapolis,Minnesota,55407,Interior
158064,United States,Los Angeles,California,90008,Pacific
130729,United States,Rancho Cucamonga,California,91730,Pacific
140921,United States,Omaha,Nebraska,68104,Interior
109939,United States,Salem,Oregon,97301,Pacific
114503,United States,Lebanon,Tennessee,37087,Gulf
126613,United States,Mesa,Arizona,85204,Pacific
131065,United States,Atlanta,Georgia,30318,Gulf
169488,United States,Providence,Rhode Island,02908,Atlantic
100230,United States,New York City,New York,10035,Atlantic
155271,United States,Middletown,Connecticut,06457,Atlantic
121671,United States,Springfield,Missouri,65807,Interior
114601,United States,Detroit,Michigan,48234,Interior
114412,United States,Concord,North Carolina,28027,Gulf
154963,United States,Chester,Pennsylvania,19013,Atlantic
143210,United States,Lowell,Massachusetts,01852,Atlantic
110863,United States,Oklahoma City,Oklahoma,73120,Interior
147137,United States,San Francisco,California,94109,Pacific
131205,United States,Georgetown,Kentucky,40324,Gulf
157196,United States,San Diego,California,92105,Pacific
152905,United States,Arlington,Texas,76017,Interior
156587,United States,Seattle,Washington,98103,Pacific
140935,United States,Oklahoma City,Oklahoma,73120,Interior
150511,United States,Des Moines,Washington,98198,Pacific
108637,United States,Waynesboro,Virginia,22980,Gulf
161207,United States,Concord,New Hampshire,03301,Atlantic
129714,United States,New York City,New York,10009,Atlantic
159688,United States,Los Angeles,California,90004,Pacific
134173,United States,Philadelphia,Pennsylvania,19143,Atlantic
118213,United States,Greenwood,Indiana,46142,Interior
107174,United States,Seattle,Washington,98105,Pacific
103100,United States,Indianapolis,Indiana,46203,Interior
163181,United States,Houston,Texas,77041,Interior
147431,United States,New York City,New York,10011,Atlantic
122245,United States,Phoenix,Arizona,85023,Pacific
117121,United States,Detroit,Michigan,48205,Interior
121643,United States,Portland,Oregon,97206,Pacific
126788,United States,Pearland,Texas,77581,Interior
140781,United States,Bloomington,Illinois,61701,Interior
153822,United States,Phoenix,Arizona,85023,Pacific
101042,United States,Henderson,Kentucky,42420,Gulf
169061,United States,Yonkers,New York,10701,Atlantic
168186,United States,Tulsa,Oklahoma,74133,Interior
147970,United States,Dallas,Texas,75220,Interior
120761,United States,Long Beach,New York,11561,Atlantic
