Customer ID,Order Date,Ship Date,Ship Mode
128055,2021-03-31,2026-09-26,Standard Class
138100,2021-09-15,2027-03-13,Standard Class
121391,2022-10-04,2028-03-29,First Class
103982,2023-03-03,2028-08-28,Standard Class
147039,2024-06-29,2029-12-25,Standard Class
158064,2021-04-21,2026-10-16,Standard Class
130729,2021-10-24,2027-04-21,Standard Class
140921,2022-02-03,2027-07-29,First Class
109939,2022-05-08,2027-11-02,Standard Class
114503,2022-11-13,2028-05-09,Standard Class
126613,2023-07-10,2029-01-05,Standard Class
131065,2023-11-14,2029-05-08,Second Class
169488,2024-09-07,2030-03-02,First Class
100230,2024-12-11,2030-06-07,Standard Class
155271,2021-05-04,2026-10-25,Same Day
121671,2023-07-17,2029-01-11,Standard Class
114601,2023-08-26,2029-02-22,Standard Class
114412,2024-04-15,2029-10-11,Standard Class
154963,2021-06-22,2026-12-18,Standard Class
143210,2021-12-01,2027-05-26,First Class
110863,2022-11-17,2028-05-16,Standard Class
147137,2023-07-04,2028-12-26,First Class
131205,2023-09-04,2029-02-28,Standard Class
157196,2024-11-05,2030-05-02,Standard Class
152905,2021-02-18,2026-08-17,Standard Class
156587,2021-03-07,2026-08-29,First Class
140935,2023-11-10,2029-05-04,First Class
150511,2022-09-18,2028-03-16,Standard Class
108637,2023-03-13,2028-09-07,Standard Class
161207,2023-08-29,2029-02-23,Standard Class
129714,2023-09-01,2029-02-23,First Class
159688,2024-05-07,2029-11-02,Standard Class
134173,2024-09-16,2030-03-14,Standard Class
118213,2024-11-05,2030-04-30,First Class
107174,2024-11-06,2030-05-06,Standard Class
103100,2021-12-20,2027-06-15,First Class
163181,2022-11-07,2028-05-04,Standard Class
147431,2023-02-02,2028-07-30,Standard Class
122245,2023-09-25,2029-03-22,Standard Class
117121,2023-12-17,2029-06-12,Standard Class
121643,2024-05-18,2029-11-10,First Class
126788,2024-06-05,2029-11-27,First Class
140781,2024-08-03,2030-01-28,Standard Class
153822,2024-09-19,2030-03-18,Standard Class
101042,2024-11-19,2030-05-16,Standard Class
169061,2021-03-05,2026-08-29,Second Class
168186,2022-09-10,2028-03-07,Standard Class
147970,2023-01-31,2028-07-25,Second Class
120761,2024-09-04,2030-03-01,Standard Class
158876,2024-11-19,2030-05-14,Second Class
139500,2021-11-16,2027-05-13,Standard Class
126634,2021-12-20,2027-06-14,Second Class
131534,2022-03-28,2027-09-23,Standard Class
144043,2022-05-10,2027-11-05,Standard Class
115945,2022-06-25,2027-12-22,Standard Class
126634,2024-03-30,2029-09-22,Second Class
144932,2024-04-14,2029-10-08,First Class
145737,2024-09-15,2030-03-13,Standard Class
131212,2024-12-05,2030-06-01,Standard Class
126634,2024-12-20,2030-06-14,Second Class
122679,2021-07-22,2027-01-18,Standard Class
142055,2022-05-08,2027-10-31,First Class
110093,2022-12-03,2028-05-30,Standard Class
158708,2023-06-26,2028-12-19,Second Class
151323,2023-10-23,2029-04-19,Standard Class
151155,2023-12-20,2029-06-15,Standard Class
127705,2024-06-02,2029-11-27,Standard Class
155873,2024-06-16,2029-12-12,Standard Class
126662,2024-07-17,2030-01-11,Standard Class
115336,2021-11-18,2027-05-18,Standard Class
111234,2022-02-18,2027-08-15,Standard Class
158323,2022-11-30,2028-05-25,First Class
155425,2024-11-10,2030-05-04,First Class
129924,2021-07-12,2027-01-07,Standard Class
144400,2023-02-23,2028-08-19,Standard Class
158218,2024-05-12,2029-11-05,Second Class
167262,2021-10-31,2027-04-26,Second Class
106495,2022-06-15,2027-12-08,First Class
164441,2022-11-08,2028-05-05,Standard Class
116232,2023-09-22,2029-03-18,Standard Class
163573,2023-11-24,2029-05-19,First Class
141789,2024-10-03,2030-03-29,First Class
158729,2024-12-19,2030-06-13,First Class
100734,2022-09-15,2028-03-12,Standard Class
136007,2024-02-23,2029-08-23,Standard Class
101637,2024-03-24,2029-09-15,Same Day
157987,2024-09-02,2030-02-27,Standard Class
169411,2024-12-24,2030-06-21,Standard Class
122021,2021-10-15,2027-04-09,First Class
134544,2023-03-17,2028-09-08,Second Class
161928,2023-06-27,2028-12-19,Second Class
158617,2023-09-22,2029-03-20,Standard Class
135650,2024-03-23,2029-09-17,Standard Class
128062,2021-11-19,2027-05-15,Second Class
152030,2021-12-26,2027-06-20,Second Class
120439,2022-06-14,2027-12-09,Standard Class
124268,2022-07-04,2027-12-29,Standard Class
127432,2024-01-22,2029-07-19,Standard Class
136784,2024-04-30,2029-10-26,Standard Class
160416,2024-11-13,2030-05-11,Second Class
143245,2024-12-01,2030-05-29,Standard Class
168634,2022-12-06,2028-06-02,Standard Class
126270,2023-04-23,2028-10-17,Standard Class
139234,2023-05-06,2028-10-30,Standard Class
146934,2023-05-22,2028-11-16,Standard Class
125269,2024-04-24,2029-10-21,Standard Class
167871,2024-11-18,2030-05-16,Standard Class
139969,2024-11-19,2030-05-19,Standard Class
114181,2021-05-10,2026-11-04,Second Class
103702,2021-09-12,2027-03-10,Standard Class
114300,2022-10-13,2028-04-08,Standard Class
115588,2023-11-10,2029-05-04,Second Class
167164,2021-05-13,2026-11-05,Second Class
103058,2021-07-23,2027-01-14,First Class
153738,2021-09-20,2027-03-15,First Class
153738,2022-09-20,2028-03-14,First Class
105732,2023-09-13,2029-03-10,Standard Class
153738,2023-09-20,2029-03-14,First Class
139416,2024-03-27,2029-09-19,Second Class
153738,2024-09-20,2030-03-15,First Class
147298,2021-04-26,2026-10-24,Standard Class
166800,2022-11-19,2028-05-18,Standard Class
143749,2023-12-05,2029-05-29,First Class
161823,2024-09-03,2030-03-01,Standard Class
104150,2023-08-03,2029-01-25,Second Class
107748,2024-12-10,2030-06-04,Second Class
108287,2024-12-18,2030-06-12,First Class
142909,2024-12-22,2030-06-17,Second Class
104927,2024-12-22,2030-06-18,Standard Class
158470,2021-04-19,2026-10-14,Second Class
125171,2021-09-03,2027-02-24,Same Day
109820,2023-11-20,2029-05-14,First Class
136483,2023-12-01,2029-05-28,Standard Class
107244,2024-09-07,2030-03-04,Standard Class
104241,2022-01-04,2027-07-02,Standard Class
162201,2022-06-08,2027-12-03,Standard Class
142692,2022-10-23,2028-04-19,Standard Class
118738,2022-10-24,2028-04-21,Standard Class
156146,2022-10-26,2028-04-21,Second Class
111948,2022-11-11,2028-05-03,Same Day
168921,2023-10-20,2029-04-13,First Class
132976,2024-10-13,2030-04-09,Standard Class
167850,2021-08-09,2027-02-06,Standard Class
158281,2021-09-02,2027-02-28,Standard Class
169572,2022-09-06,2028-03-04,Standard Class
164084,2022-09-07,2028-03-04,Standard Class
137512,2022-05-07,2027-11-02,Standard Class
133368,2023-01-14,2028-07-12,Standard Class
108987,2023-09-08,2029-03-02,Second Class
146822,2024-06-09,2029-12-05,Standard Class
101483,2024-07-29,2030-01-22,Second Class
104094,2024-09-07,2030-03-04,Standard Class
163335,2024-09-24,2030-03-20,First Class
158638,2021-09-17,2027-03-14,Standard Class
110947,2022-06-09,2027-12-06,Standard Class
113222,2022-11-09,2028-05-01,Same Day
126123,2024-10-14,2030-04-10,Standard Class
119137,2021-07-23,2027-01-17,Standard Class
130785,2022-09-05,2028-03-01,Standard Class
136728,2022-09-13,2028-03-09,Second Class
115399,2022-12-19,2028-06-13,First Class
148376,2022-12-27,2028-06-22,Standard Class
158435,2023-05-17,2028-11-07,First Class
160108,2023-12-08,2029-06-03,Standard Class
110198,2024-05-01,2029-10-23,First Class
161557,2024-09-03,2030-03-01,Standard Class
116939,2024-09-25,2030-03-22,Standard Class
122070,2021-04-22,2026-10-15,Second Class
113768,2021-05-13,2026-11-09,Standard Class
158400,2021-10-25,2027-04-20,First Class
157644,2021-12-31,2027-06-24,First Class
130113,2022-12-27,2028-06-22,Standard Class
162747,2023-03-20,2028-09-14,Second Class
164000,2024-12-18,2030-06-14,Standard Class
160066,2021-11-16,2027-05-15,Standard Class
161795,2022-12-21,2028-06-14,Second Class
144015,2023-06-26,2028-12-16,Same Day
149797,2023-09-15,2029-03-12,Standard Class
147109,2023-12-17,2029-06-12,Standard Class
118857,2024-04-15,2029-10-09,First Class
145702,2024-05-19,2029-11-14,Second Class
112004,2024-09-25,2030-03-21,First Class
125451,2024-10-23,2030-04-16,First Class
165029,2024-11-26,2030-05-23,Standard Class
123295,2021-07-18,2027-01-08,Same Day
135594,2023-06-30,2028-12-23,Second Class
145261,2023-12-18,2029-06-12,First Class
150987,2024-04-08,2029-10-03,Standard Class
107958,2024-07-02,2029-12-26,First Class
151211,2024-08-17,2030-02-13,Standard Class
131632,2024-10-31,2030-04-27,Standard Class
125185,2022-03-05,2027-08-28,Second Class
112697,2023-12-18,2029-06-11,Second Class
123043,2024-08-24,2030-02-19,Standard Class
154732,2024-11-05,2030-04-30,First Class
153983,2021-11-29,2027-05-29,Standard Class
155040,2022-11-10,2028-05-07,Standard Class
165050,2022-12-07,2028-05-31,First Class
166485,2023-02-20,2028-08-19,Standard Class
104080,2024-03-08,2029-09-05,Standard Class
146983,2024-09-02,2030-02-27,Standard Class
148831,2024-10-13,2030-04-07,First Class
166919,2024-11-23,2030-05-20,Standard Class
147956,2024-12-24,2030-06-23,Standard Class
141243,2022-01-03,2027-07-01,Second Class
151547,2022-01-17,2027-07-16,Standard Class
126165,2023-05-05,2028-10-27,Second Class
145275,2024-04-02,2029-09-27,Standard Class
115546,2024-05-14,2029-11-08,Standard Class
162278,2021-10-26,2027-04-22,Second Class
160479,2023-09-15,2029-03-12,Standard Class
152492,2024-07-06,2029-12-27,Same Day
109715,2024-12-09,2030-06-06,Standard Class
160276,2021-04-02,2026-09-29,Standard Class
110548,2022-05-04,2027-10-29,Standard Class
166604,2022-05-15,2027-11-10,Second Class
112214,2022-08-05,2028-02-01,Standard Class
113628,2022-11-12,2028-05-11,Standard Class
139780,2022-12-31,2028-06-24,Second Class
138282,2023-05-19,2028-11-12,Standard Class
113831,2023-05-30,2028-11-23,Standard Class
144148,2023-07-31,2029-01-25,Standard Class
158869,2023-08-06,2029-01-27,First Class
145709,2023-10-04,2029-03-30,Standard Class
148740,2023-11-15,2029-05-11,Standard Class
131387,2021-04-28,2026-10-21,First Class
159709,2021-05-10,2026-11-05,Standard Class
102330,2021-12-29,2027-06-26,Standard Class
167479,2022-03-14,2027-09-09,Standard Class
158918,2022-12-20,2028-06-16,Second Class
158694,2023-11-10,2029-05-05,Second Class
107552,2024-05-05,2029-10-26,Same Day
155929,2024-09-09,2030-03-06,Standard Class
160759,2024-12-11,2030-06-09,Standard Class
116855,2024-12-17,2030-06-13,Standard Class
149020,2021-01-10,2026-07-08,Standard Class
108609,2021-10-31,2027-04-25,Second Class
141313,2021-12-28,2027-06-24,Standard Class
165554,2022-05-18,2027-11-12,Standard Class
123617,2023-11-28,2029-05-25,Standard Class
133361,2024-05-14,2029-11-07,First Class
111577,2024-10-16,2030-04-13,Standard Class
106810,2021-05-14,2026-11-10,Standard Class
110786,2021-12-29,2027-06-25,Standard Class
134474,2023-01-05,2028-06-29,Second Class
138079,2023-01-22,2028-07-20,Standard Class
123946,2023-09-12,2029-03-09,Standard Class
123015,2023-12-26,2029-06-21,Standard Class
142342,2024-07-17,2030-01-09,Second Class
155852,2021-03-03,2026-08-28,Second Class
132836,2022-06-01,2027-11-26,Standard Class
164497,2022-11-28,2028-05-22,First Class
126347,2022-12-14,2028-06-10,Second Class
115378,2023-11-18,2029-05-15,Second Class
133004,2024-08-31,2030-02-26,Standard Class
137421,2024-10-06,2030-04-03,Standard Class
113362,2021-09-14,2027-03-12,Standard Class
131800,2021-12-30,2027-06-27,Standard Class
123246,2024-10-17,2030-04-11,Second Class
132542,2021-10-06,2027-03-31,Second Class
107944,2022-03-23,2027-09-15,First Class
157000,2023-07-16,2029-01-11,Standard Class
161340,2024-05-28,2029-11-22,Standard Class
109701,2024-12-02,2030-05-26,Same Day
145387,2021-10-31,2027-04-25,Second Class
138457,2022-09-13,2028-03-09,Standard Class
151470,2022-09-20,2028-03-18,Standard Class
100573,2022-09-25,2028-03-23,Standard Class
145905,2023-09-18,2029-03-15,Standard Class
157903,2024-04-04,2029-09-29,Standard Class
124821,2024-06-25,2029-12-20,Second Class
104731,2024-07-21,2030-01-17,Standard Class
148096,2023-08-16,2029-02-08,First Class
127964,2021-03-03,2026-08-29,Standard Class
165449,2022-11-22,2028-05-18,Standard Class
154403,2023-05-23,2028-11-16,Standard Class
114174,2023-09-08,2029-03-06,Standard Class
120250,2023-09-19,2029-03-14,First Class
136322,2023-10-21,2029-04-17,Standard Class
103674,2023-12-06,2029-06-01,Standard Class
143021,2024-11-19,2030-05-12,Same Day
124737,2021-08-23,2027-02-17,Standard Class
146969,2021-09-29,2027-03-26,Standard Class
113047,2021-10-24,2027-04-16,Same Day
105270,2021-11-11,2027-05-11,Standard Class
164588,2023-04-16,2028-10-13,Standard Class
168893,2023-11-03,2029-04-30,Second Class
128412,2023-12-10,2029-06-08,Standard Class
168228,2024-04-27,2029-10-20,First Class
146136,2024-09-03,2030-02-28,Standard Class
132059,2024-09-23,2030-03-22,Standard Class
126438,2021-09-10,2027-03-06,First Class
115189,2021-12-30,2027-06-26,Second Class
139374,2022-09-10,2028-03-06,Standard Class
126396,2024-09-08,2030-03-05,Second Class
126438,2024-09-10,2030-03-06,First Class
157882,2021-10-03,2027-03-31,Second Class
164427,2022-07-31,2028-01-27,Standard Class
149468,2024-05-20,2029-11-10,Same Day
140844,2024-06-19,2029-12-14,Standard Class
134481,2024-08-27,2030-02-22,Standard Class
115056,2021-05-02,2026-10-23,Same Day
105767,2021-05-23,2026-11-17,Standard Class
112319,2022-08-31,2028-02-26,Standard Class
147536,2023-12-26,2029-06-22,Standard Class
111808,2024-12-16,2030-06-12,Standard Class
122588,2021-11-25,2027-05-20,Second Class
136987,2022-04-11,2027-10-05,Second Class
123505,2022-11-22,2028-05-18,Standard Class
138037,2023-09-29,2029-03-25,Standard Class
138289,2024-01-16,2029-07-10,Second Class
154935,2024-12-24,2030-06-21,Standard Class
157588,2023-07-14,2029-01-08,Standard Class
109218,2021-06-30,2026-12-24,Second Class
160213,2022-03-08,2027-09-03,Standard Class
132304,2023-06-14,2028-12-08,Standard Class
148110,2023-09-05,2029-03-03,Standard Class
160745,2023-12-11,2029-06-07,Second Class
108343,2024-07-20,2030-01-15,Standard Class
118724,2024-07-21,2030-01-15,Second Class
141425,2024-11-02,2030-04-29,Second Class
150126,2021-07-27,2027-01-23,Standard Class
162901,2023-03-28,2028-09-20,First Class
148747,2023-09-25,2029-03-19,First Class
113481,2024-01-02,2029-06-26,First Class
162691,2024-08-01,2030-01-28,Standard Class
147655,2024-09-04,2030-02-26,First Class
101749,2024-10-03,2030-03-31,Standard Class
156160,2021-09-22,2027-03-22,Standard Class
132913,2021-12-24,2027-06-18,First Class
127509,2022-11-09,2028-05-05,Standard Class
104311,2023-05-02,2028-10-26,Standard Class
119865,2023-06-21,2028-12-16,Standard Class
150007,2023-09-11,2029-03-08,Standard Class
145877,2024-04-01,2029-09-25,Second Class
136448,2024-09-16,2030-03-11,First Class
108063,2024-12-02,2030-05-28,First Class
149461,2023-11-13,2029-05-11,Standard Class
162929,2024-11-19,2030-05-15,First Class
110408,2021-10-18,2027-04-12,Second Class
144253,2022-05-04,2027-10-30,Second Class
143154,2023-12-02,2029-05-30,Standard Class
112515,2024-09-17,2030-03-14,Second Class
117926,2024-12-08,2030-06-04,Second Class
149958,2021-03-15,2026-09-09,Standard Class
128538,2021-10-11,2027-04-07,Standard Class
150749,2022-03-29,2027-09-24,Second Class
143700,2022-07-26,2028-01-16,Same Day
114405,2023-04-07,2028-10-02,Standard Class
118913,2023-06-25,2028-12-19,Standard Class
101049,2024-06-21,2029-12-16,Second Class
114209,2023-05-21,2028-11-15,Standard Class
134775,2023-10-28,2029-04-20,First Class
163755,2023-11-04,2029-04-30,Second Class
106677,2023-11-05,2029-05-02,Standard Class
164196,2023-11-11,2029-05-09,Standard Class
149706,2024-12-11,2030-06-04,First Class
162684,2021-08-01,2027-01-27,Standard Class
101392,2021-12-07,2027-06-05,Standard Class
146745,2022-09-03,2028-02-29,Standard Class
155404,2023-09-22,2029-03-20,Standard Class
129224,2024-03-17,2029-09-13,Standard Class
124597,2024-04-30,2029-10-26,Standard Class
100314,2024-09-29,2030-03-28,Standard Class
111360,2021-11-24,2027-05-23,Standard Class
120243,2021-12-27,2027-06-22,Second Class
133977,2022-09-06,2028-02-29,Second Class
100468,2023-11-24,2029-05-23,Standard Class
106355,2024-04-02,2029-09-26,First Class
102407,2024-12-09,2030-06-05,Second Class
146500,2021-08-30,2027-02-25,Standard Class
146731,2021-11-03,2027-05-01,Standard Class
123113,2022-11-23,2028-05-19,Second Class
108210,2023-05-30,2028-11-20,Same Day
116603,2023-07-17,2029-01-11,Standard Class
