Product Name,Customer ID,Sales,Units,Gross Profit,Cost,Order Date,Ship Date,Ship Mode
Wonka Bar - Triple Dazzle Caramel,128055,7.5,2,4.9,2.6,2021-03-31,2026-09-26,Standard Class
Wonka Bar -Scrumdiddlyumptious,128055,7.2,2,5.0,2.2,2021-03-31,2026-09-26,Standard Class
Wonka Bar - Fudge Mallows,138100,7.2,2,4.8,2.4,2021-09-15,2027-03-13,Standard Class
Wonka Bar - Milk Chocolate,138100,9.75,3,6.33,3.42,2021-09-15,2027-03-13,Standard Class
Wonka Bar - Milk Chocolate,121391,6.5,2,4.22,2.28,2022-10-04,2028-03-29,First Class
Wonka Bar -Scrumdiddlyumptious,103982,3.6,1,2.5,1.1,2023-03-03,2028-08-28,Standard Class
Wonka Bar - Nutty Crunch Surprise,103982,10.47,3,7.47,3.0,2023-03-03,2028-08-28,Standard Class
Wonka Bar - Fudge Mallows,103982,25.2,7,16.8,8.4,2023-03-03,2028-08-28,Standard Class
Wonka Bar - Milk Chocolate,103982,9.75,3,6.33,3.42,2023-03-03,2028-08-28,Standard Class
Wonka Bar - Nutty Crunch Surprise,147039,10.47,3,7.47,3.0,2024-06-29,2029-12-25,Standard Class
Wonka Bar - Nutty Crunch Surprise,147039,6.98,2,4.98,2.0,2024-06-29,2029-12-25,Standard Class
Wonka Bar - Milk Chocolate,158064,16.25,5,10.55,5.7,2021-04-21,2026-10-16,Standard Class
Wonka Bar - Milk Chocolate,130729,9.75,3,6.33,3.42,2021-10-24,2027-04-21,Standard Class
Wonka Bar - Triple Dazzle Caramel,140921,7.5,2,4.9,2.6,2022-02-03,2027-07-29,First Class
Wonka Bar - Nutty Crunch Surprise,140921,10.47,3,7.47,3.0,2022-02-03,2027-07-29,First Class
Wonka Bar -Scrumdiddlyumptious,109939,7.2,2,5.0,2.2,2022-05-08,2027-11-02,Standard Class
Wonka Bar - Nutty Crunch Surprise,114503,20.94,6,14.94,6.0,2022-11-13,2028-05-09,Standard Class
Wonka Bar - Triple Dazzle Caramel,126613,7.5,2,4.9,2.6,2023-07-10,2029-01-05,Standard Class
Wonka Bar - Nutty Crunch Surprise,131065,6.98,2,4.98,2.0,2023-11-14,2029-05-08,Second Class
Wonka Bar -Scrumdiddlyumptious,131065,3.6,1,2.5,1.1,2023-11-14,2029-05-08,Second Class
Wonka Bar - Nutty Crunch Surprise,131065,6.98,2,4.98,2.0,2023-11-14,2029-05-08,Second Class
